iteracao,index,views,tabelas_temporarias,operacao,variacao,tempo
18,0,0,0,dist_max_api,0,"115,913968"
19,0,0,0,dist_max_api,0,"117,379145"
20,0,0,0,dist_max_api,0,"116,542483"
21,0,0,0,dist_max_api,0,"120,667241"
22,0,0,0,dist_max_api,0,"118,942534"
23,0,0,0,dist_max_api,0,"122,616547"
24,0,0,0,dist_max_api,0,"119,845126"
25,0,0,0,dist_max_api,0,"121,142893"
26,0,0,0,dist_max_api,0,"119,203849"
27,0,0,0,dist_max_api,0,"117,245931"
28,0,0,0,dist_max_api,0,"121,046791"
29,0,0,0,dist_max_api,0,"120,148736"
0,0,0,0,dist_med_api,0,"123,126349"
1,0,0,0,dist_med_api,0,"118,831047"
2,0,0,0,dist_med_api,0,"121,568971"
3,0,0,0,dist_med_api,0,"124,432659"
4,0,0,0,dist_med_api,0,"116,917682"
5,0,0,0,dist_med_api,0,"119,660904"
6,0,0,0,dist_med_api,0,"122,108075"
7,0,0,0,dist_med_api,0,"120,68312"
8,0,0,0,dist_med_api,0,"124,203591"
9,0,0,0,dist_med_api,0,"118,340286"
10,0,0,0,dist_med_api,0,"121,911392"
11,0,0,0,dist_med_api,0,"125,342517"
12,0,0,0,dist_med_api,0,"117,922719"
13,0,0,0,dist_med_api,0,"120,153201"
14,0,0,0,dist_med_api,0,"118,517774"
15,0,0,0,dist_med_api,0,"122,845743"
16,0,0,0,dist_med_api,0,"119,769306"
17,0,0,0,dist_med_api,0,"124,051337"
18,0,0,0,dist_med_api,0,"123,896422"
19,0,0,0,dist_med_api,0,"118,273521"
20,0,0,0,dist_med_api,0,"120,831255"
21,0,0,0,dist_med_api,0,"121,716831"
22,0,0,0,dist_med_api,0,"115,689731"
23,0,0,0,dist_med_api,0,"122,546216"
24,0,0,0,dist_med_api,0,"119,341251"
25,0,0,0,dist_med_api,0,"124,970352"
26,0,0,0,dist_med_api,0,"116,82593"
27,0,0,0,dist_med_api,0,"123,720184"
28,0,0,0,dist_med_api,0,"121,541216"
29,0,0,0,dist_med_api,0,"120,251815"
0,gist,0,0,dist_med_api,0,"78,62075496"
1,gist,0,0,dist_med_api,0,"79,54244781"
2,gist,0,0,dist_med_api,0,"77,58482409"
3,gist,0,0,dist_med_api,0,"78,80610466"
4,gist,0,0,dist_med_api,0,"76,75991511"
5,gist,0,0,dist_med_api,0,"77,70785284"
6,gist,0,0,dist_med_api,0,"79,5657444"
7,gist,0,0,dist_med_api,0,"78,46072555"
8,gist,0,0,dist_med_api,0,"77,93821812"
9,gist,0,0,dist_med_api,0,"79,0413115"
10,gist,0,0,dist_med_api,0,"77,37986732"
11,gist,0,0,dist_med_api,0,"78,33243251"
12,gist,0,0,dist_med_api,0,"79,81525016"
13,gist,0,0,dist_med_api,0,"78,82186174"
14,gist,0,0,dist_med_api,0,"77,47126555"
15,gist,0,0,dist_med_api,0,"79,32511759"
16,gist,0,0,dist_med_api,0,"78,06246376"
17,gist,0,0,dist_med_api,0,"79,20146179"
18,gist,0,0,dist_med_api,0,"77,14088798"
19,gist,0,0,dist_med_api,0,"77,31266546"
20,gist,0,0,dist_med_api,0,"92,32384682"
21,gist,0,0,dist_med_api,0,"85,40451217"
22,gist,0,0,dist_med_api,0,"78,17033339"
23,gist,0,0,dist_med_api,0,"78,69864249"
24,gist,0,0,dist_med_api,0,"79,90927267"
25,gist,0,0,dist_med_api,0,"79,39294147"
26,gist,0,0,dist_med_api,0,"78,15161777"
27,gist,0,0,dist_med_api,0,"79,75348449"
28,gist,0,0,dist_med_api,0,"77,87203574"
29,gist,0,0,dist_med_api,0,"77,68785834"
0,gist,0,0,dist_max_pt_med,0,"81,3361907"
1,gist,0,0,dist_max_pt_med,0,"82,34701681"
2,gist,0,0,dist_max_pt_med,0,"79,63700271"
3,gist,0,0,dist_max_pt_med,0,"81,34711337"
4,gist,0,0,dist_max_pt_med,0,"83,1533103"
5,gist,0,0,dist_max_pt_med,0,"82,70210767"
6,gist,0,0,dist_max_pt_med,0,"82,12114978"
7,gist,0,0,dist_max_pt_med,0,"79,92646766"
8,gist,0,0,dist_max_pt_med,0,"79,77135849"
9,gist,0,0,dist_max_pt_med,0,"79,65529847"
10,gist,0,0,dist_max_pt_med,0,"82,24257445"
11,gist,0,0,dist_max_pt_med,0,"79,61690402"
12,gist,0,0,dist_max_pt_med,0,"81,91653848"
13,gist,0,0,dist_max_pt_med,0,"79,58822799"
14,gist,0,0,dist_max_pt_med,0,"81,60604596"
15,gist,0,0,dist_max_pt_med,0,"82,01188993"
16,gist,0,0,dist_max_pt_med,0,"79,82610798"
17,gist,0,0,dist_max_pt_med,0,"83,35682869"
18,gist,0,0,dist_max_pt_med,0,"82,92864919"
19,gist,0,0,dist_max_pt_med,0,"82,17910552"
20,gist,0,0,dist_max_pt_med,0,"80,26099682"
21,gist,0,0,dist_max_pt_med,0,"79,9945972"
22,gist,0,0,dist_max_pt_med,0,"81,30131745"
23,gist,0,0,dist_max_pt_med,0,"80,14888501"
24,gist,0,0,dist_max_pt_med,0,"80,52343655"
25,gist,0,0,dist_max_pt_med,0,"81,61590385"
26,gist,0,0,dist_max_pt_med,0,"80,06740117"
27,gist,0,0,dist_max_pt_med,0,"82,49701142"
28,gist,0,0,dist_max_pt_med,0,"82,08567667"
29,gist,0,0,dist_max_pt_med,0,"82,58208704"
0,gist,0,0,dist_max_api,0,"77,76852942"
1,gist,0,0,dist_max_api,0,"79,50774336"
2,gist,0,0,dist_max_api,0,"77,60918736"
